"","KEGG_ID"
"1","C00019"
"2","C00020"
"3","C00047"
"4","C00055"
"5","C00062"
"6","C00064"
"7","C00065"
"8","C00073"
"9","C00075"
"10","C00077"
"11","C00096"
"12","C00104"
"13","C00105"
"14","C00117"
"15","C00123"
"16","C00135"
"17","C00147"
"18","C00152"
"19","C00158"
"20","C00178"
"21","C00191"
"22","C00198"
"23","C00199"
"24","C00204"
"25","C00231"
"26","C00250"
"27","C00253"
"28","C00262"
"29","C00299"
"30","C00307"
"31","C00311"
"32","C00333"
"33","C00346"
"34","C00354"
"35","C00360"
"36","C00362"
"37","C00366"
"38","C00386"
"39","C00394"
"40","C00407"
"41","C00430"
"42","C00437"
"43","C00475"
"44","C00515"
"45","C00558"
"46","C00570"
"47","C00618"
"48","C00620"
"49","C00665"
"50","C00672"
"51","C00673"
"52","C00679"
"53","C00691"
"54","C00739"
"55","C00740"
"56","C00792"
"57","C00819"
"58","C00881"
"59","C00884"
"60","C00905"
"61","C01040"
"62","C01042"
"63","C01043"
"64","C01045"
"65","C01073"
"66","C01101"
"67","C01103"
"68","C01110"
"69","C01115"
"70","C01142"
"71","C01152"
"72","C01157"
"73","C01165"
"74","C01168"
"75","C01185"
"76","C01186"
"77","C01204"
"78","C01216"
"79","C01220"
"80","C01231"
"81","C01262"
"82","C01268"
"83","C01367"
"84","C01368"
"85","C01620"
"86","C02067"
"87","C02280"
"88","C02354"
"89","C02642"
"90","C02669"
"91","C02775"
"92","C02835"
"93","C03044"
"94","C03046"
"95","C03227"
"96","C03291"
"97","C03341"
"98","C03383"
"99","C03440"
"100","C03574"
"101","C03646"
"102","C03659"
"103","C03660"
"104","C03741"
"105","C03785"
"106","C03906"
"107","C03921"
"108","C03943"
"109","C04062"
"110","C04063"
"111","C04392"
"112","C04575"
"113","C05147"
"114","C05161"
"115","C05340"
"116","C05341"
"117","C05378"
"118","C05392"
"119","C05401"
"120","C05526"
"121","C05565"
"122","C05578"
"123","C05635"
"124","C05643"
"125","C05651"
"126","C05678"
"127","C05797"
"128","C05822"
"129","C05831"
"130","C06051"
"131","C06056"
"132","C06118"
"133","C06187"
"134","C06196"
"135","C06441"
"136","C06473"
"137","C06892"
"138","C07047"
"139","C07446"
"140","C07585"
"141","C07888"
"142","C10164"
"143","C11437"
"144","C11736"
"145","C12270"
"146","C12739"
"147","C13482"
"148","C14855"
"149","C14856"
"150","C15699"
"151","C15925"
"152","C15996"
"153","C16309"
"154","C16311"
"155","C16361"
"156","C16578"
"157","C16596"
"158","C16604"
"159","C16607"
"160","C16643"
"161","C16673"
"162","C16737"
"163","C17017"
"164","C17401"
"165","C17944"
"166","C18905"
"167","C19563"
"168","C19566"
"169","C19602"
"170","C19706"
"171","C20121"
"172","C20248"
"173","C20251"
"174","C20657"
"175","C20680"
